"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","FOODVEGE.FRVGFMTF","FOODVEGE.FRVGHOTH","FOODVEGE.FRVGTOTX","FOODFRUT.FRVGFMTF","FOODFRUT.FRVGHOTH","FOODFRUT.FRVGTOTX","ACOLALCT.LIPPERNB","TOBATBCT.GRPPERQT","TOBATBCT.NBPFUMNB","TOBATBCT.PDLSFMTF","TOBATBCT.PDLSHOTH","TOBATBCT.PDLSTOTX","TOBATBCT.YNGPPTPC","TOBATBCT.YNGPPHPH","TOBATBCT.YNGPPFPF","BODYOVSR.PERWOMTF","BODYOVSR.PERMANTH","BODYOVSR.TOTPOPTX","BODYOBSR.PERWOMTF","BODYOBSR.PERMANTH","BODYOBSR.TOTPOPTX","BODYVBSR.PERWOMTF","BODYVBSR.PERMANTH","BODYVBSR.TOTPOPTX","BODYOVMS.PERWOMTF","BODYOVMS.PERMANTH","BODYOVMS.TOTPOPTX","BODYOBMS.PERWOMTF","BODYOBMS.PERMANTH","BODYOBMS.TOTPOPTX","BODYVBMS.PERWOMTF","BODYVBMS.PERMANTH","BODYVBMS.TOTPOPTX","FOODVEGG.KGPPERNB","VAPEVAPY.VAPREGPF","VAPEVAPY.VAPREGPC","VAPEVAPY.VAPREGPH","VAPEVAPA.VAPREGPF","VAPEVAPA.VAPREGPC","VAPEVAPA.VAPREGPH","PHARMAEXP.PC_HEALTHXP","PHARMAEXP.PC_GDP","PHARMAEXP.USD_CAP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"49","CAN",2011,149.7,3474,103.9,50,128.6,79.8,66.8,73.4,73,58.2,65.8,8.2,NA,14.9,14,17.4,15.7,12.1,12.8,11.4,26.7,39,32.8,16.3,19.1,17.7,42.9,58.1,50.5,28.6,39.8,34.2,25.2,27.3,26.2,53.8,67.1,60.4,113,NA,NA,NA,NA,NA,NA,17.868,1.858,755.102,1713,15.080861
"50","CAN",2012,149,3485,104.6,48.2,125.8,79.6,66.4,73.1,74.6,59.7,67.3,8.3,NA,14.8,13.5,18.7,16.1,12.7,14.5,10.8,26.3,39.9,33.2,17.3,18.1,17.7,43.7,58,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.2,NA,NA,NA,NA,NA,NA,17.403,1.828,754.036,1722,15.09696466
"51","CAN",2013,147.1,3494,105,48.3,135.7,80,67.8,74,76.4,62.1,69.4,8.2,NA,14.7,12.9,16.9,14.9,11.9,14.6,9,27,40.7,33.9,16.8,19.5,18.2,43.8,60.2,52.1,28,43.3,35.6,26.3,26.5,26.4,54.3,69.8,62,108.5,NA,NA,NA,NA,NA,NA,16.962,1.765,750.531,1716,15.12262958
"52","CAN",2014,157.1,3414,98.7,93.5,96.1,81.2,68,74.7,75.7,61.6,68.8,8,NA,14.8,11.7,16.3,14,9.9,11,8.7,26.9,39,32.9,18.1,21.1,19.6,44.9,60.1,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.4,NA,NA,NA,NA,NA,NA,16.559,1.697,750.549,1710,15.14537574
"53","CAN",2015,158.5,3419,97.6,93.1,93.1,63,49.7,56.5,73,57.7,65.5,8,NA,14.6,11.3,14.9,13.1,8.6,10.1,6.9,27.3,39,33.1,18,20.5,19.2,45.3,59.5,52.4,32.2,39.9,36.1,27.8,28.5,28.1,60,68.4,64.2,103.4,4.4,6.2,7.9,2.6,2.9,3.3,16.649,1.787,770.968,1712,15.15912579
"54","CAN",2016,157.5,3494,102.4,90.4,99.4,64.9,49.1,57.2,72.9,57.5,65.4,8.1,NA,14.7,10.8,14.2,12.5,7.6,8.4,6.8,27.5,39.1,33.4,18.1,21.3,19.7,45.6,60.4,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.8,NA,NA,NA,NA,NA,NA,16.557,1.825,834.383,1706,15.17458086
"55","CAN",2017,157.5,3501,104.7,84.3,97,62.6,49,55.9,73.1,59.6,66.5,8.2,NA,14.4,10,14.2,12,7.4,9.1,5.6,27.8,40.2,34,19,20.5,19.8,46.9,60.6,53.8,28.5,38.4,33.5,27,26.9,26.9,55.5,65.3,60.4,101.9,3.9,6.5,9,2.5,3.1,3.8,16.455,1.783,845.473,1695,NA
"56","CAN",2018,163.5,3566,104.1,91.2,96.9,NA,NA,NA,NA,NA,NA,8.2,NA,14.2,9.7,12.8,11.3,6.3,7.1,5.6,27.9,40.2,34,18.7,20.7,19.7,46.6,60.9,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.7,NA,NA,NA,NA,NA,NA,16.13,1.743,859.882,1708,NA
"57","CZE",2005,128.1,3318,99.3,37.6,69.7,NA,NA,NA,NA,NA,NA,12,2670,13.5,19.4,29.8,24.3,26.8,30.9,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,42,35,17,18,17,46,60,52,79,NA,NA,NA,NA,NA,NA,25.7,1.63,391.508,1803,11.97898018
"58","CZE",2006,137.7,3279,95.3,32.1,68.9,NA,NA,NA,NA,NA,NA,11.9,2735,13.1,19.5,27.7,23.4,30.1,38.2,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.6,NA,NA,NA,NA,NA,NA,23.478,1.447,366.013,1789,11.9690466
